Error,Link,Note
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1570524024&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1570522705&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1570520954&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1551550076&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1542613193&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1541153738&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1455386038&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1343709940&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1248751421&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1356536769&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1351938121&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1351659568&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1315789129&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1315787924&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1315787796&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1315787618&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1315787504&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1315787350&searchtext=,rating could not be found
"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#detailsHeaderRight > div > div > img""}
  (Session info: chrome=117.0.5938.132); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000102c6ed68 chromedriver + 4337000
1   chromedriver                        0x0000000102c66de4 chromedriver + 4304356
2   chromedriver                        0x0000000102893a5c chromedriver + 293468
3   chromedriver                        0x00000001028d8d50 chromedriver + 576848
4   chromedriver                        0x0000000102913908 chromedriver + 817416
5   chromedriver                        0x00000001028cca5c chromedriver + 526940
6   chromedriver                        0x00000001028cd908 chromedriver + 530696
7   chromedriver                        0x0000000102c34db4 chromedriver + 4099508
8   chromedriver                        0x0000000102c39270 chromedriver + 4117104
9   chromedriver                        0x0000000102c3f4fc chromedriver + 4142332
10  chromedriver                        0x0000000102c39d70 chromedriver + 4119920
11  chromedriver                        0x0000000102c11a44 chromedriver + 3955268
12  chromedriver                        0x0000000102c56a18 chromedriver + 4237848
13  chromedriver                        0x0000000102c56b94 chromedriver + 4238228
14  chromedriver                        0x0000000102c66a5c chromedriver + 4303452
15  libsystem_pthread.dylib             0x000000018f47bfa8 _pthread_start + 148
16  libsystem_pthread.dylib             0x000000018f476da0 thread_start + 8
",https://steamcommunity.com/sharedfiles/filedetails/?id=1315787217&searchtext=,rating could not be found
